"","subgroups","maingroups"
"POP.US",322903030,322903030
"LOWINC.US",0,NA
"MINS.US",125721853,125721853
"UNDER5.US",0,19836850
"OVER64.US",0,49238581
"LTHS.US",0,26948057
"LINGISO.US",0,5323080
"PRE1960.US",0,38411797
"HISP.US",57517935,0
"NHWA.US",197181177,0
"NHBA.US",39715917,0
"NHAIANA.US",2135479,0
"NHAA.US",17367169,0
"NHNHPIA.US",525102,0
"NHOTHERALONE.US",754496,0
"NHMULTI.US",7705755,0
"PCTLOWINC.US",NaN,NA
"PCTMIN.US",0.389348632002617,0.389348632002617
"PCTUNDER5.US",0,0.0614328394502833
"PCTOVER64.US",0,0.152487206453281
"PCTLTHS.US",NaN,0.123362516325597
"PCTLINGISO.US",NaN,0.0444589852939938
"PCTPRE1960.US",NaN,0.281643849425123
"PCTHISP.US",0.178127579044396,0
"PCTNHWA.US",0.610651367997383,0
"PCTNHBA.US",0.12299642093789,0
"PCTNHAIANA.US",0.00661337553878017,0
"PCTNHAA.US",0.0537844720750994,0
"PCTNHNHPIA.US",0.00162619099610183,0
"PCTNHOTHERALONE.US",0.00233660241590176,0
"PCTNHMULTI.US",0.0238639909944481,0
